price,year,condition,cylinders,fuel,odometer,transmission,size,type
32900,2019,like new,4 cylinders,gas,24459,automatic,mid-size,sedan
5400,2008,good,4 cylinders,gas,62000,manual,compact,hatchback
3599,2010,good,4 cylinders,gas,88098,automatic,mid-size,sedan
7498,2016,good,4 cylinders,gas,82260,manual,compact,hatchback
17950,2017,excellent,4 cylinders,gas,44000,automatic,compact,sedan
13500,2015,like new,4 cylinders,gas,88342,automatic,full-size,sedan
12000,2012,like new,6 cylinders,gas,80920,automatic,full-size,sedan
13900,2019,excellent,4 cylinders,gas,46500,automatic,mid-size,sedan
1,2018,excellent,6 cylinders,gas,18075,automatic,compact,sedan
17000,2016,excellent,4 cylinders,gas,88000,automatic,compact,sedan
4500,2009,excellent,4 cylinders,gas,71124,manual,mid-size,hatchback
10000,2005,excellent,4 cylinders,gas,64526,manual,mid-size,coupe
6990,2014,excellent,4 cylinders,gas,79000,automatic,compact,sedan
4995,2007,like new,6 cylinders,gas,91000,automatic,mid-size,sedan
19995,2015,excellent,4 cylinders,gas,72000,automatic,mid-size,wagon
12700,2009,excellent,6 cylinders,gas,83000,automatic,mid-size,sedan
3300,2004,good,6 cylinders,gas,171,automatic,mid-size,sedan
14999,2013,excellent,4 cylinders,gas,87931,manual,sub-compact,coupe
18999,2014,excellent,6 cylinders,gas,58996,automatic,full-size,sedan
9950,2012,excellent,4 cylinders,diesel,96000,automatic,mid-size,sedan
18495,2018,excellent,4 cylinders,gas,27847,automatic,full-size,sedan
31995,2018,excellent,4 cylinders,gas,39556,automatic,full-size,sedan
13995,2017,excellent,4 cylinders,gas,42119,automatic,mid-size,sedan
5800,2007,excellent,4 cylinders,gas,58100,automatic,compact,sedan
17500,2014,excellent,6 cylinders,gas,62000,automatic,full-size,sedan
4850,2003,excellent,4 cylinders,gas,75680,manual,sub-compact,coupe
12995,2017,excellent,4 cylinders,gas,99729,automatic,full-size,sedan
7981,2013,excellent,4 cylinders,gas,64721,automatic,mid-size,sedan
19250,2017,excellent,4 cylinders,gas,86495,automatic,mid-size,sedan
10995,2016,excellent,4 cylinders,gas,78917,automatic,compact,sedan
8995,2010,excellent,4 cylinders,gas,94287,automatic,full-size,sedan
100,2017,excellent,4 cylinders,gas,60192,automatic,compact,hatchback
8299,2015,good,4 cylinders,gas,41000,automatic,full-size,sedan
15998,2014,excellent,4 cylinders,gas,47000,automatic,mid-size,coupe
7995,2010,like new,6 cylinders,gas,92000,automatic,mid-size,sedan
12500,2015,excellent,4 cylinders,gas,73000,automatic,compact,wagon
12990,2013,like new,4 cylinders,gas,86173,automatic,full-size,sedan
16999,2018,excellent,4 cylinders,gas,45581,automatic,compact,sedan
9991,2010,excellent,4 cylinders,gas,68000,automatic,full-size,sedan
1,2013,excellent,4 cylinders,gas,92292,automatic,mid-size,sedan
17998,2013,excellent,6 cylinders,gas,97420,automatic,mid-size,sedan
10999,2016,like new,6 cylinders,gas,67582,automatic,full-size,wagon
10900,2012,excellent,4 cylinders,gas,92000,automatic,mid-size,hatchback
1,2014,excellent,4 cylinders,gas,77813,automatic,mid-size,coupe
13995,2017,like new,4 cylinders,gas,58200,automatic,full-size,sedan
7995,2015,excellent,4 cylinders,gas,48272,automatic,compact,hatchback
7495,2012,excellent,4 cylinders,gas,49000,automatic,compact,sedan
14000,2017,excellent,4 cylinders,gas,81000,automatic,mid-size,sedan
4200,2009,excellent,4 cylinders,gas,93000,automatic,compact,sedan
7450,2015,excellent,4 cylinders,gas,91757,automatic,sub-compact,sedan
7995,2016,like new,4 cylinders,gas,92000,automatic,compact,sedan
18787,2012,excellent,6 cylinders,gas,89317,automatic,mid-size,sedan
1899,2006,excellent,6 cylinders,gas,1234,automatic,mid-size,sedan
8500,2012,excellent,4 cylinders,gas,99000,automatic,full-size,sedan
20973,2014,excellent,6 cylinders,gas,53028,automatic,mid-size,sedan
15988,2016,good,4 cylinders,gas,44437,automatic,compact,sedan
7488,2009,good,6 cylinders,gas,69000,automatic,mid-size,sedan
6495,2012,like new,4 cylinders,gas,94295,automatic,compact,sedan
7200,2011,excellent,6 cylinders,gas,92071,automatic,full-size,sedan
4490,2004,excellent,4 cylinders,gas,81423,automatic,sub-compact,wagon
6500,2010,excellent,4 cylinders,gas,91000,automatic,mid-size,wagon
9500,2015,excellent,6 cylinders,gas,48000,automatic,full-size,sedan
7295,2018,good,4 cylinders,gas,57086,automatic,compact,sedan
18995,2017,like new,6 cylinders,gas,24143,automatic,mid-size,sedan
38995,2017,like new,4 cylinders,gas,40810,automatic,mid-size,sedan
3800,2014,like new,4 cylinders,gas,82000,automatic,compact,hatchback
7999,2013,excellent,4 cylinders,gas,89000,automatic,compact,sedan
10800,2007,like new,6 cylinders,gas,59400,automatic,mid-size,sedan
27999,2013,excellent,6 cylinders,gas,63629,automatic,full-size,sedan
1,2016,excellent,6 cylinders,gas,44878,automatic,compact,sedan
12800,2011,excellent,6 cylinders,gas,65000,automatic,mid-size,sedan
9500,2014,excellent,4 cylinders,gas,59000,automatic,compact,sedan
6995,2004,excellent,6 cylinders,gas,73324,automatic,full-size,sedan
12800,2015,excellent,4 cylinders,gas,58000,automatic,mid-size,sedan
8500,2001,excellent,6 cylinders,gas,62000,manual,compact,coupe
1,2015,excellent,4 cylinders,gas,50566,automatic,compact,sedan
15995,2019,like new,4 cylinders,gas,19347,automatic,compact,sedan
9750,2009,excellent,6 cylinders,gas,90800,automatic,full-size,sedan
4000,2008,excellent,4 cylinders,gas,38090,automatic,mid-size,sedan
6981,2014,excellent,4 cylinders,gas,72000,automatic,sub-compact,hatchback
13990,2015,good,4 cylinders,gas,99463,automatic,compact,sedan
13900,2013,excellent,4 cylinders,gas,28273,automatic,mid-size,sedan
17998,2001,like new,6 cylinders,gas,41000,automatic,mid-size,sedan
13500,2013,excellent,6 cylinders,gas,38000,automatic,mid-size,sedan
1900,2016,good,4 cylinders,gas,76000,automatic,mid-size,sedan
12095,2003,like new,4 cylinders,gas,58000,manual,compact,coupe
14995,2016,excellent,4 cylinders,gas,42000,automatic,compact,sedan
6500,2015,like new,4 cylinders,gas,96,automatic,compact,hatchback
15000,2015,excellent,4 cylinders,gas,48901,automatic,full-size,sedan
3995,2005,like new,4 cylinders,gas,81214,automatic,mid-size,hatchback
9000,2015,excellent,4 cylinders,gas,99000,automatic,mid-size,sedan
8999,2016,like new,4 cylinders,gas,62000,automatic,full-size,sedan
37900,2019,like new,6 cylinders,gas,17276,automatic,full-size,sedan
10700,2012,excellent,4 cylinders,gas,82000,automatic,compact,hatchback
14995,2017,excellent,4 cylinders,gas,53560,automatic,full-size,sedan
9500,2016,excellent,4 cylinders,gas,54000,manual,compact,hatchback
18495,2018,excellent,4 cylinders,gas,26771,automatic,full-size,sedan
1000,2019,like new,4 cylinders,gas,25857,automatic,full-size,sedan
1,2018,excellent,6 cylinders,gas,16845,automatic,compact,wagon
6500,2013,excellent,6 cylinders,gas,66000,automatic,full-size,sedan
9995,2015,like new,6 cylinders,gas,91039,automatic,mid-size,sedan
7800,2015,excellent,6 cylinders,gas,86000,automatic,full-size,sedan
9990,2013,excellent,4 cylinders,gas,37204,automatic,mid-size,coupe
8950,2010,good,4 cylinders,gas,81373,manual,mid-size,sedan
7900,2012,excellent,4 cylinders,gas,79800,automatic,compact,sedan
11900,2016,good,4 cylinders,gas,57500,automatic,full-size,sedan
19995,2018,like new,4 cylinders,gas,43000,manual,compact,hatchback
11450,2012,excellent,4 cylinders,gas,56000,automatic,compact,sedan
2000,2017,like new,4 cylinders,gas,72000,automatic,full-size,sedan
11299,2013,excellent,4 cylinders,gas,96840,automatic,compact,sedan
5600,2008,good,4 cylinders,gas,91954,automatic,mid-size,sedan
14500,2015,good,4 cylinders,diesel,46000,automatic,compact,hatchback
16995,2018,excellent,4 cylinders,gas,76677,automatic,mid-size,sedan
8900,2012,excellent,4 cylinders,gas,82859,automatic,compact,coupe
2800,2013,good,4 cylinders,gas,93561,automatic,sub-compact,sedan
4999,2012,like new,4 cylinders,gas,68000,automatic,compact,hatchback
6990,2008,excellent,6 cylinders,gas,72000,automatic,mid-size,sedan
8400,2010,excellent,4 cylinders,gas,74000,automatic,mid-size,sedan
10500,2015,excellent,4 cylinders,gas,58000,automatic,mid-size,sedan
7500,2012,excellent,6 cylinders,gas,78000,automatic,full-size,sedan
12995,2013,good,4 cylinders,gas,85311,automatic,mid-size,sedan
4295,2003,like new,4 cylinders,gas,59000,automatic,compact,coupe
17995,2019,excellent,4 cylinders,gas,16518,automatic,mid-size,sedan
3400,2015,new,6 cylinders,gas,71000,automatic,mid-size,coupe
10995,2012,excellent,4 cylinders,diesel,73928,automatic,compact,sedan
8500,2012,excellent,4 cylinders,gas,54000,automatic,full-size,sedan
15500,2015,excellent,4 cylinders,gas,48500,automatic,compact,hatchback
16500,2013,excellent,6 cylinders,gas,87000,automatic,full-size,coupe
9000,2013,excellent,4 cylinders,gas,46000,automatic,compact,sedan
12971,2011,excellent,6 cylinders,diesel,87615,automatic,mid-size,sedan
11450,2017,excellent,4 cylinders,gas,75526,automatic,mid-size,sedan
22000,2014,excellent,4 cylinders,gas,40985,automatic,full-size,sedan
3995,2005,good,6 cylinders,gas,99000,automatic,mid-size,sedan
9500,2011,good,4 cylinders,gas,61300,automatic,full-size,sedan
19875,2016,excellent,4 cylinders,gas,64000,automatic,full-size,sedan
5900,2016,fair,4 cylinders,gas,48536,automatic,mid-size,sedan
10989,2017,good,4 cylinders,gas,41506,automatic,compact,sedan
7500,2013,like new,6 cylinders,gas,63000,automatic,full-size,sedan
8500,2013,good,4 cylinders,gas,64354,automatic,mid-size,sedan
21500,2017,excellent,4 cylinders,gas,46000,automatic,compact,wagon
10800,2017,excellent,4 cylinders,gas,54696,automatic,compact,sedan
7700,2016,excellent,4 cylinders,gas,75000,automatic,full-size,sedan
34900,2017,excellent,6 cylinders,gas,36677,automatic,full-size,coupe
16495,2015,excellent,6 cylinders,gas,95425,automatic,full-size,sedan
7450,2013,excellent,4 cylinders,gas,51000,automatic,mid-size,hatchback
9950,2018,good,4 cylinders,gas,17569,automatic,sub-compact,sedan
14995,2015,excellent,4 cylinders,gas,32375,automatic,compact,sedan
13899,2012,excellent,4 cylinders,diesel,78000,manual,compact,hatchback
9500,2012,excellent,4 cylinders,gas,84000,automatic,mid-size,hatchback
25995,2014,excellent,6 cylinders,gas,67150,automatic,mid-size,sedan
34888,2003,excellent,6 cylinders,gas,65000,manual,compact,coupe
6200,2015,good,4 cylinders,gas,67251,manual,compact,sedan
8990,2013,excellent,4 cylinders,gas,77000,automatic,mid-size,sedan
8945,2008,excellent,4 cylinders,gas,68781,automatic,mid-size,sedan
20500,2017,excellent,6 cylinders,gas,68000,automatic,full-size,sedan
19900,2017,excellent,4 cylinders,gas,28047,automatic,mid-size,sedan
15895,2016,excellent,4 cylinders,gas,48483,automatic,mid-size,sedan
20000,2014,excellent,6 cylinders,gas,80000,automatic,mid-size,sedan
11995,2012,excellent,4 cylinders,gas,72441,automatic,mid-size,sedan
10888,2011,like new,4 cylinders,gas,22445,automatic,full-size,sedan
8490,2010,excellent,4 cylinders,gas,83000,automatic,mid-size,sedan
7995,2017,excellent,4 cylinders,gas,92123,automatic,mid-size,sedan
4995,2002,like new,4 cylinders,gas,64000,automatic,mid-size,coupe
30900,2019,like new,4 cylinders,gas,22185,automatic,mid-size,sedan
18990,2015,excellent,4 cylinders,gas,63930,automatic,mid-size,coupe
6960,2013,like new,4 cylinders,gas,95000,manual,mid-size,hatchback
9800,2010,excellent,4 cylinders,gas,35980,automatic,compact,hatchback
8200,2017,good,4 cylinders,gas,27020,automatic,compact,sedan
14450,2016,excellent,4 cylinders,gas,43000,automatic,full-size,sedan
9999,2014,excellent,6 cylinders,gas,83000,automatic,full-size,sedan
26995,2017,excellent,4 cylinders,gas,26757,automatic,mid-size,sedan
2000,2020,excellent,4 cylinders,gas,26111,automatic,full-size,sedan
14900,2017,excellent,4 cylinders,gas,80617,automatic,mid-size,sedan
6295,2005,excellent,6 cylinders,gas,82000,automatic,full-size,sedan
8500,2012,excellent,4 cylinders,gas,71000,automatic,mid-size,sedan
16995,2017,good,4 cylinders,gas,67545,automatic,mid-size,coupe
9995,2016,excellent,4 cylinders,gas,58002,automatic,mid-size,hatchback
20489,2018,good,4 cylinders,gas,41488,automatic,mid-size,wagon
10800,2014,like new,4 cylinders,gas,119,automatic,full-size,sedan
9000,2004,like new,6 cylinders,gas,89246,automatic,full-size,sedan
8995,2008,excellent,4 cylinders,gas,57600,automatic,compact,coupe
12499,2012,excellent,4 cylinders,gas,69929,automatic,full-size,sedan
19900,2017,excellent,4 cylinders,gas,28047,automatic,mid-size,sedan
3500,2017,excellent,6 cylinders,gas,45901,automatic,full-size,sedan
4250,2003,excellent,6 cylinders,gas,71250,automatic,full-size,sedan
11499,2015,excellent,4 cylinders,gas,49000,automatic,compact,hatchback
27500,2016,excellent,6 cylinders,gas,38600,automatic,full-size,sedan
6500,2013,excellent,4 cylinders,diesel,98432,automatic,full-size,sedan
2500,2001,good,6 cylinders,gas,86000,automatic,mid-size,sedan
1995,2010,like new,4 cylinders,gas,2,automatic,full-size,sedan
7850,2013,excellent,6 cylinders,gas,47950,automatic,full-size,sedan
14991,2018,excellent,4 cylinders,gas,65840,manual,compact,sedan
13995,2016,excellent,4 cylinders,gas,47292,automatic,full-size,sedan
11000,2010,like new,6 cylinders,gas,79400,automatic,compact,coupe
13988,2010,like new,6 cylinders,gas,70000,automatic,full-size,coupe
8500,2014,good,6 cylinders,gas,72635,automatic,full-size,sedan
10995,2011,excellent,4 cylinders,gas,78469,automatic,compact,sedan
13750,2015,good,4 cylinders,gas,85000,automatic,full-size,sedan
13988,2017,excellent,4 cylinders,gas,39180,automatic,mid-size,sedan
500,2015,like new,4 cylinders,gas,20000,automatic,full-size,sedan
7488,2014,good,6 cylinders,gas,85000,automatic,mid-size,sedan
10000,2014,excellent,6 cylinders,gas,59900,automatic,mid-size,sedan
19000,2015,like new,4 cylinders,gas,68000,automatic,mid-size,sedan
12995,2013,excellent,6 cylinders,gas,79702,automatic,mid-size,sedan
22000,2016,excellent,6 cylinders,gas,83200,automatic,full-size,sedan
11499,2016,excellent,4 cylinders,gas,93571,automatic,compact,sedan
8400,2017,excellent,4 cylinders,gas,55600,automatic,mid-size,sedan
26999,2017,excellent,4 cylinders,gas,25947,manual,compact,sedan
6995,2008,excellent,6 cylinders,gas,81818,automatic,full-size,sedan
13500,2013,like new,4 cylinders,gas,26300,automatic,full-size,sedan
1,2018,excellent,6 cylinders,gas,62531,automatic,compact,wagon
12995,2011,excellent,4 cylinders,gas,94644,automatic,mid-size,sedan
8998,2002,excellent,6 cylinders,gas,94000,automatic,mid-size,wagon
14500,2015,excellent,6 cylinders,gas,77000,automatic,mid-size,sedan
11500,2017,excellent,4 cylinders,gas,36000,automatic,compact,sedan
5900,2011,good,4 cylinders,gas,58747,automatic,full-size,sedan
19400,2019,like new,4 cylinders,gas,20238,automatic,compact,hatchback
3400,2016,good,6 cylinders,gas,44000,automatic,full-size,sedan
14995,2015,good,4 cylinders,gas,39623,automatic,compact,sedan
13900,2010,like new,6 cylinders,gas,48000,automatic,full-size,coupe
32000,2020,like new,4 cylinders,gas,5592,automatic,mid-size,sedan
1,2018,excellent,6 cylinders,gas,18075,automatic,compact,sedan
8945,2008,excellent,4 cylinders,gas,68781,automatic,compact,sedan
20999,2018,excellent,4 cylinders,gas,64200,automatic,mid-size,wagon
11895,2016,excellent,4 cylinders,gas,40000,automatic,compact,sedan
15470,2015,good,6 cylinders,gas,74041,automatic,compact,sedan
14550,2016,excellent,4 cylinders,gas,55775,automatic,compact,sedan
12900,2015,excellent,4 cylinders,gas,84618,automatic,full-size,sedan
18550,2016,excellent,6 cylinders,gas,65124,automatic,mid-size,sedan
25999,2017,excellent,4 cylinders,gas,19151,manual,sub-compact,sedan
5100,2013,good,4 cylinders,gas,74185,manual,compact,sedan
7898,2017,like new,4 cylinders,gas,62327,manual,full-size,sedan
1,2015,excellent,6 cylinders,gas,23391,manual,mid-size,coupe
14995,2017,excellent,4 cylinders,gas,74047,automatic,compact,sedan
6750,2012,excellent,4 cylinders,gas,67122,automatic,mid-size,sedan
9750,2013,good,4 cylinders,gas,81771,automatic,compact,sedan
8299,2013,like new,4 cylinders,gas,57000,automatic,compact,sedan
11500,2016,good,4 cylinders,gas,61000,automatic,mid-size,sedan
9000,2003,excellent,6 cylinders,gas,74325,automatic,mid-size,wagon
9999,2012,excellent,6 cylinders,gas,81300,automatic,mid-size,sedan
13995,2012,excellent,4 cylinders,gas,98935,automatic,compact,sedan
9500,2015,excellent,4 cylinders,gas,61000,automatic,mid-size,sedan
5995,2011,good,4 cylinders,gas,97573,automatic,compact,sedan
9390,2015,excellent,4 cylinders,gas,81187,automatic,full-size,sedan
25995,2015,excellent,6 cylinders,gas,59012,automatic,compact,sedan
10500,2010,excellent,4 cylinders,gas,27926,automatic,compact,coupe
1,2014,excellent,4 cylinders,gas,77813,automatic,mid-size,coupe
10500,2013,excellent,4 cylinders,gas,34383,manual,compact,sedan
7995,2011,excellent,4 cylinders,gas,118,automatic,mid-size,sedan
7300,2017,excellent,4 cylinders,gas,77000,automatic,compact,sedan
5975,2007,excellent,4 cylinders,gas,78000,automatic,mid-size,coupe
1995,2015,fair,4 cylinders,gas,80000,automatic,full-size,sedan
6000,2013,excellent,6 cylinders,gas,1,automatic,mid-size,sedan
23995,2019,excellent,6 cylinders,gas,45317,automatic,full-size,sedan
4500,2013,good,4 cylinders,gas,74811,automatic,mid-size,sedan
13495,2013,like new,4 cylinders,gas,42511,automatic,mid-size,sedan
13753,2015,excellent,4 cylinders,gas,78448,automatic,full-size,sedan
11500,2011,like new,6 cylinders,gas,98500,automatic,mid-size,sedan
6775,2006,excellent,6 cylinders,gas,97000,automatic,full-size,sedan
20988,2018,like new,4 cylinders,gas,20000,automatic,full-size,sedan
11000,2015,like new,4 cylinders,gas,58100,automatic,mid-size,sedan
7500,2018,excellent,4 cylinders,gas,50000,automatic,full-size,hatchback
6200,2016,good,4 cylinders,gas,92000,automatic,compact,hatchback
14490,2017,excellent,4 cylinders,gas,72840,automatic,mid-size,sedan
9990,2010,excellent,6 cylinders,gas,96235,automatic,mid-size,sedan
15495,2016,like new,4 cylinders,gas,59169,automatic,mid-size,sedan
25000,2019,like new,4 cylinders,gas,25000,manual,compact,sedan
8900,2015,good,4 cylinders,gas,38000,automatic,full-size,sedan
8985,2011,excellent,4 cylinders,gas,85250,automatic,mid-size,sedan
2800,2007,excellent,4 cylinders,gas,200,automatic,mid-size,wagon
5000,2010,excellent,4 cylinders,gas,85200,automatic,compact,sedan
1900,2013,good,4 cylinders,gas,46000,automatic,mid-size,wagon
2000,2008,good,6 cylinders,gas,0,automatic,full-size,sedan
13500,2010,like new,6 cylinders,gas,46500,automatic,full-size,sedan
10800,2011,good,4 cylinders,diesel,86200,automatic,mid-size,wagon
24500,2018,like new,4 cylinders,gas,63372,automatic,full-size,sedan
13995,2017,like new,6 cylinders,gas,73000,automatic,full-size,sedan
25000,2008,excellent,6 cylinders,gas,90000,automatic,compact,coupe
14500,2016,like new,4 cylinders,gas,28118,automatic,compact,sedan
7000,2011,good,6 cylinders,gas,84758,automatic,full-size,sedan
8500,2013,excellent,4 cylinders,gas,92000,manual,compact,hatchback
7470,2017,good,4 cylinders,gas,74420,automatic,sub-compact,sedan
7490,2007,excellent,4 cylinders,gas,49000,automatic,mid-size,sedan
9000,2007,good,4 cylinders,gas,56000,automatic,full-size,sedan
9800,2015,excellent,4 cylinders,gas,93000,manual,compact,hatchback
19500,2018,excellent,4 cylinders,gas,35664,automatic,full-size,sedan
7500,2014,good,4 cylinders,gas,75890,automatic,mid-size,hatchback
15990,2015,excellent,4 cylinders,gas,98575,automatic,full-size,sedan
15250,2013,excellent,4 cylinders,gas,34000,automatic,compact,sedan
17300,2014,excellent,4 cylinders,gas,82004,manual,compact,hatchback
489,2016,like new,6 cylinders,gas,60000,automatic,mid-size,coupe
4995,2005,excellent,6 cylinders,gas,61000,automatic,full-size,sedan
14499,2014,good,4 cylinders,gas,90000,automatic,full-size,sedan
12400,2017,like new,4 cylinders,gas,27674,automatic,compact,sedan
14899,2014,good,4 cylinders,gas,57210,automatic,full-size,sedan
8500,2015,like new,4 cylinders,gas,69900,automatic,compact,sedan
3995,2005,excellent,6 cylinders,gas,86910,automatic,mid-size,sedan
26000,2020,new,4 cylinders,gas,1485,manual,compact,sedan
19995,2017,excellent,4 cylinders,gas,54701,automatic,mid-size,hatchback
15900,2019,excellent,4 cylinders,gas,28000,automatic,mid-size,sedan
16999,2015,excellent,4 cylinders,gas,72219,automatic,full-size,sedan
17500,2018,excellent,4 cylinders,gas,32000,automatic,full-size,sedan
9450,2014,excellent,4 cylinders,gas,54345,automatic,full-size,hatchback
6700,2015,good,4 cylinders,gas,91000,automatic,mid-size,sedan
15500,2017,like new,4 cylinders,gas,32000,automatic,full-size,sedan
7900,2011,excellent,4 cylinders,gas,56046,automatic,compact,hatchback
11800,2013,excellent,4 cylinders,gas,29305,automatic,sub-compact,sedan
7450,2014,excellent,4 cylinders,gas,87500,automatic,mid-size,hatchback
11995,2013,good,4 cylinders,diesel,87262,automatic,full-size,sedan
11999,2017,excellent,4 cylinders,gas,59000,automatic,mid-size,sedan
29700,2018,like new,6 cylinders,gas,16220,automatic,full-size,coupe
14800,2014,excellent,4 cylinders,gas,40100,automatic,full-size,sedan
16995,2017,good,4 cylinders,gas,20753,manual,compact,sedan
13900,2018,like new,4 cylinders,gas,5900,automatic,compact,hatchback
4500,2011,good,4 cylinders,gas,87279,automatic,sub-compact,hatchback
14995,2018,like new,4 cylinders,gas,44802,automatic,compact,sedan
17995,2013,like new,6 cylinders,gas,65349,automatic,full-size,sedan
12900,2014,excellent,4 cylinders,gas,90480,automatic,full-size,sedan
5970,2015,excellent,4 cylinders,gas,98110,automatic,sub-compact,hatchback
399,2016,excellent,4 cylinders,gas,62495,automatic,mid-size,sedan
18500,2019,like new,4 cylinders,gas,32000,automatic,full-size,sedan
12995,2011,excellent,4 cylinders,gas,88280,automatic,mid-size,wagon
14500,2016,excellent,6 cylinders,gas,72000,automatic,compact,sedan
22477,2016,excellent,4 cylinders,gas,72351,manual,compact,sedan
38000,2019,like new,6 cylinders,gas,4000,automatic,mid-size,wagon
19350,2019,excellent,4 cylinders,gas,26000,automatic,mid-size,wagon
10700,2013,excellent,4 cylinders,gas,82000,automatic,full-size,sedan
14000,2015,excellent,4 cylinders,gas,49500,automatic,full-size,sedan
7900,2016,excellent,6 cylinders,gas,81000,automatic,full-size,sedan
9500,2008,good,6 cylinders,gas,58000,automatic,full-size,sedan
9995,2013,excellent,4 cylinders,gas,95146,automatic,compact,sedan
6500,2015,like new,4 cylinders,gas,56352,automatic,mid-size,hatchback
7800,2014,excellent,4 cylinders,gas,92902,automatic,mid-size,sedan
4995,2004,excellent,4 cylinders,gas,76650,automatic,compact,sedan
6200,2004,good,6 cylinders,gas,85000,automatic,compact,hatchback
